"id","chr","start","end","strand","breast_normal","breast_cancer","colon_normal","colon_cancer","lung_normal","lung_cancer","pancreas_normal","pancreas_cancer","NET_cancer","thyroid_normal","thyroid_cancer"
277157,chr11,3121400,3121400,*,0.9082,0.9083,0.9013,0.9017,0.8955,0.8745,0.9219,0.8949,0.8718,0.9097,0.9076
277158,chr11,3121460,3121460,*,0.7594,0.8617,0.8273,0.846,0.8054,0.8135,0.7822,0.8059,0.7519,0.778,0.8441
277159,chr11,3122933,3122933,*,0.9847,0.9792,0.9746,0.9625,0.9847,0.9141,0.9851,0.9749,0.6763,0.9817,0.9855
277160,chr11,3122945,3122945,*,0.91,0.9055,0.8962,0.9059,0.9093,0.8479,0.9123,0.91,0.6888,0.9115,0.9159
277161,chr11,3122963,3122963,*,0.9722,0.9658,0.9613,0.943,0.9704,0.9109,0.9694,0.9682,0.6664,0.972,0.9718
277162,chr11,3127422,3127422,*,0.8086,0.7731,0.735,0.8068,0.7758,0.6685,0.8127,0.7645,0.4335,0.7926,0.8275
277163,chr11,3127554,3127554,*,0.6237,0.6012,0.5992,0.5988,0.6153,0.5384,0.6631,0.6415,0.4876,0.6432,0.6673
277164,chr11,3127663,3127663,*,0.8613,0.8171,0.8374,0.8223,0.8335,0.7672,0.8685,0.8336,0.635,0.8607,0.8755
277165,chr11,3128874,3128874,*,0.9492,0.942,0.9354,0.9488,0.9452,0.895,0.9458,0.9427,0.9423,0.9435,0.9493
277166,chr11,3128944,3128944,*,0.8913,0.8521,0.8345,0.884,0.8865,0.7889,0.8916,0.8566,0.5244,0.9053,0.8952
277167,chr11,3129068,3129068,*,0.8795,0.8656,0.8795,0.9005,0.9059,0.8265,0.912,0.8886,0.7468,0.9018,0.915
277168,chr11,3130645,3130645,*,0.8438,0.8322,0.7966,0.8553,0.844,0.803,0.8916,0.8258,0.7039,0.8533,0.8615
277169,chr11,3140094,3140094,*,0.8045,0.7925,0.7809,0.7844,0.8118,0.7608,0.8125,0.8028,0.5096,0.7953,0.7974
277170,chr11,3141665,3141665,*,0.933,0.9154,0.9042,0.9299,0.931,0.8818,0.9355,0.9217,0.7329,0.9319,0.9349
277171,chr11,3141753,3141753,*,0.8863,0.8767,0.8553,0.8926,0.8948,0.8,0.9032,0.8731,0.772,0.8759,0.8726
277172,chr11,3141876,3141876,*,0.8744,0.8616,0.8857,0.8966,0.8897,0.8728,0.8984,0.8935,0.8894,0.8867,0.8843
277173,chr11,3143271,3143271,*,0.9201,0.9027,0.8962,0.9081,0.9154,0.8406,0.9282,0.9211,0.9205,0.927,0.9137
277174,chr11,3143292,3143292,*,0.9263,0.9173,0.9093,0.9254,0.9251,0.8852,0.9189,0.9261,0.9184,0.917,0.9126
277175,chr11,3144685,3144685,*,0.3578,0.4358,0.4781,0.5102,0.612,0.549,0.6494,0.5133,0.4522,0.4473,0.4488
277176,chr11,3144755,3144755,*,0.4627,0.5892,0.7161,0.763,0.8021,0.7274,0.8607,0.7346,0.8548,0.6581,0.6236
277177,chr11,3144774,3144774,*,0.4274,0.5926,0.6686,0.8163,0.8283,0.717,0.8876,0.7404,0.881,0.6088,0.6306
277178,chr11,3145609,3145609,*,0.2543,0.2945,0.3745,0.4599,0.3449,0.3303,0.3489,0.3698,0.2389,0.5256,0.4879
277179,chr11,3156892,3156892,*,0.6925,0.6248,0.6128,0.6048,0.6259,0.4852,0.7659,0.5605,0.7241,0.7588,0.7979
277180,chr11,3160193,3160193,*,0.6134,0.7561,0.7443,0.8332,0.8826,0.836,0.8418,0.8368,0.8895,0.8625,0.8928
277181,chr11,3164631,3164631,*,0.6944,0.7447,0.8494,0.8244,0.9149,0.8081,0.8727,0.853,0.6774,0.913,0.9124
277182,chr11,3164728,3164728,*,0.6579,0.6939,0.7416,0.7883,0.7871,0.7344,0.7863,0.7586,0.5391,0.803,0.8201
277183,chr11,3164851,3164851,*,0.7042,0.7859,0.8674,0.8801,0.8841,0.8413,0.8894,0.8694,0.7287,0.8837,0.8746
277184,chr11,3165993,3165993,*,0.9101,0.9035,0.8549,0.8989,0.9036,0.8012,0.9224,0.8797,0.7778,0.9281,0.9244
277185,chr11,3167407,3167407,*,0.9599,0.9403,0.9428,0.957,0.9532,0.91,0.9586,0.9481,0.8567,0.9591,0.9587
277186,chr11,3167563,3167563,*,0.6382,0.5932,0.6703,0.7333,0.6312,0.5858,0.7299,0.6509,0.5322,0.673,0.6994
277187,chr11,3167827,3167827,*,0.8743,0.8896,0.8073,0.8993,0.875,0.8554,0.9172,0.8743,0.6931,0.9144,0.9291
277188,chr11,3168455,3168455,*,0.5026,0.6388,0.6395,0.6344,0.6538,0.5681,0.7194,0.5037,0.5177,0.6632,0.707
277189,chr11,3168788,3168788,*,0.6709,0.8175,0.7706,0.8418,0.7899,0.8197,0.8317,0.7322,0.8063,0.7783,0.8215
277190,chr11,3168993,3168993,*,0.9231,0.9281,0.9353,0.9323,0.9541,0.9542,0.9604,0.9392,0.9156,0.9527,0.9459
277191,chr11,3169027,3169027,*,0.8373,0.8366,0.7942,0.7963,0.8608,0.7963,0.8736,0.8058,0.6935,0.8943,0.8832
277192,chr11,3173868,3173868,*,0.8593,0.897,0.8825,0.8997,0.9167,0.8184,0.9115,0.9031,0.7799,0.9207,0.9124
277193,chr11,3173907,3173907,*,0.7135,0.8066,0.8381,0.8538,0.8909,0.7801,0.8774,0.8431,0.8036,0.8857,0.8586
277194,chr11,3173953,3173953,*,0.771,0.8668,0.8853,0.9331,0.9522,0.8346,0.9502,0.9064,0.8791,0.9566,0.9296
277195,chr11,3174092,3174092,*,0.5161,0.6825,0.6488,0.6329,0.6963,0.5367,0.7671,0.58,0.6076,0.73,0.714
277196,chr11,3174128,3174128,*,0.6593,0.7706,0.801,0.776,0.815,0.7216,0.852,0.7437,0.8067,0.787,0.8046
277197,chr11,3175007,3175007,*,0.4258,0.5388,0.5873,0.5062,0.4579,0.5097,0.6423,0.5368,0.5864,0.6998,0.7469
277198,chr11,3175552,3175552,*,0.7202,0.7214,0.7646,0.6384,0.7159,0.6328,0.8297,0.7153,0.8442,0.642,0.7871
277199,chr11,3175625,3175625,*,0.8599,0.8424,0.9246,0.7557,0.8441,0.7323,0.9561,0.8576,0.6221,0.8636,0.9469
277200,chr11,3175636,3175636,*,0.8145,0.823,0.9063,0.7126,0.8013,0.7171,0.941,0.8392,0.5793,0.816,0.9273
277201,chr11,3177622,3177622,*,0.7073,0.6996,0.7056,0.6969,0.6399,0.6937,0.8295,0.7243,0.7867,0.8224,0.8226
277202,chr11,3177729,3177729,*,0.7976,0.7161,0.7183,0.7657,0.7272,0.6963,0.858,0.7484,0.7788,0.8349,0.835
277203,chr11,3177865,3177865,*,0.7318,0.6456,0.6736,0.6075,0.5788,0.5762,0.8081,0.7059,0.6228,0.8255,0.8285
277204,chr11,3178024,3178024,*,0.8003,0.7482,0.7699,0.7614,0.7233,0.7135,0.888,0.8031,0.7783,0.873,0.8615
277205,chr11,3178188,3178188,*,0.8046,0.7439,0.7444,0.7089,0.7896,0.6899,0.8513,0.7645,0.8174,0.7242,0.6736
277206,chr11,3178322,3178322,*,0.8847,0.8253,0.8379,0.7733,0.9342,0.7963,0.9736,0.8916,0.9066,0.5405,0.5458
277207,chr11,3181446,3181446,*,0.1653,0.3513,0.2053,0.2421,0.166,0.2665,0.123,0.275,0.1686,0.1348,0.2147
277208,chr11,3181575,3181575,*,0.1799,0.2767,0.17,0.193,0.1742,0.2039,0.1411,0.2473,0.14,0.1193,0.1224
277209,chr11,3181726,3181726,*,0.0704,0.2134,0.043,0.0989,0.0482,0.0783,0.015,0.1562,0.0252,0.0162,0.0167
277210,chr11,3181822,3181822,*,0.0884,0.1975,0.0878,0.1158,0.0817,0.0997,0.0753,0.1378,0.0821,0.0798,0.084
277211,chr11,3181928,3181928,*,0.1134,0.2984,0.1259,0.1676,0.1067,0.1375,0.0816,0.2173,0.1639,0.0663,0.0766
277212,chr11,3182119,3182119,*,0.3961,0.5694,0.4152,0.4819,0.3858,0.4573,0.279,0.5123,0.4273,0.2635,0.2894
277213,chr11,3184019,3184019,*,0.5577,0.6376,0.6323,0.6149,0.5729,0.6158,0.7364,0.6551,0.7443,0.719,0.7214
277214,chr11,3186095,3186095,*,0.0852,0.1027,0.1188,0.0917,0.0894,0.1281,0.1107,0.1319,0.2493,0.092,0.0862
277215,chr11,3186146,3186146,*,0.0334,0.0367,0.0641,0.0406,0.0279,0.0462,0.0307,0.0472,0.0504,0.0254,0.0366
277216,chr11,3186549,3186549,*,0.1034,0.115,0.1321,0.1001,0.1065,0.1221,0.1192,0.1093,0.1206,0.104,0.1105
277217,chr11,3186792,3186792,*,0.1346,0.1275,0.1631,0.1358,0.1477,0.1679,0.1189,0.1364,0.105,0.1301,0.1239
277218,chr11,3186804,3186804,*,0.2186,0.2075,0.2547,0.2292,0.2858,0.293,0.278,0.2533,0.1426,0.252,0.2054
277219,chr11,3186823,3186823,*,0.1223,0.1044,0.1225,0.1067,0.1317,0.1619,0.0877,0.1275,0.0979,0.1126,0.0863
277220,chr11,3186929,3186929,*,0.0985,0.1004,0.0676,0.0645,0.0529,0.0866,0.0578,0.1149,0.0609,0.0923,0.0832
277221,chr11,3186977,3186977,*,0.6986,0.5732,0.5444,0.4651,0.618,0.5783,0.5788,0.6379,0.788,0.4744,0.4213
277222,chr11,3187032,3187032,*,0.1654,0.1479,0.1688,0.1399,0.1411,0.1965,0.1241,0.1862,0.1204,0.1038,0.1034
277223,chr11,3187271,3187271,*,0.499,0.4894,0.3,0.3141,0.4583,0.4023,0.3421,0.4499,0.3083,0.5395,0.5057
277224,chr11,3187362,3187362,*,0.7677,0.7024,0.6685,0.5787,0.8053,0.7079,0.6669,0.7475,0.7087,0.7856,0.8043
277225,chr11,3187397,3187397,*,0.7885,0.7157,0.6917,0.7038,0.8206,0.7316,0.5779,0.7483,0.6578,0.8266,0.8269
277226,chr11,3187446,3187446,*,0.8379,0.8201,0.7779,0.7924,0.8332,0.7564,0.8267,0.8162,0.8383,0.8474,0.8535
277227,chr11,3187491,3187491,*,0.9672,0.9417,0.8277,0.856,0.9685,0.8436,0.9059,0.9562,0.9195,0.9743,0.9796
277228,chr11,3187511,3187511,*,0.9278,0.8945,0.7545,0.838,0.929,0.8037,0.8307,0.9004,0.8681,0.9416,0.9465
277229,chr11,3187526,3187526,*,0.9774,0.9616,0.8598,0.8972,0.9834,0.8841,0.8978,0.9677,0.937,0.9834,0.9885
277230,chr11,3187534,3187534,*,0.9834,0.9571,0.8753,0.9289,0.986,0.8917,0.9394,0.968,0.9772,0.9889,0.9917
277231,chr11,3187582,3187582,*,0.8985,0.8644,0.8736,0.8562,0.8973,0.8686,0.8584,0.8976,0.8349,0.9022,0.9014
277232,chr11,3187589,3187589,*,0.8128,0.7792,0.7751,0.7657,0.8065,0.7672,0.7636,0.8016,0.7594,0.8074,0.8126
277233,chr11,3187593,3187593,*,0.8892,0.8494,0.8476,0.8413,0.8958,0.855,0.8577,0.8701,0.7963,0.8837,0.8856
277234,chr11,3187631,3187631,*,0.8401,0.8157,0.7056,0.7112,0.8397,0.6965,0.8017,0.7897,0.8071,0.8218,0.8761
277235,chr11,3187678,3187678,*,0.8019,0.7549,0.5955,0.5725,0.7963,0.6181,0.6665,0.7383,0.5996,0.8479,0.8251
277236,chr11,3187704,3187704,*,0.6664,0.6822,0.5312,0.5066,0.7319,0.547,0.5394,0.6334,0.6316,0.6814,0.6868
277237,chr11,3187750,3187750,*,0.7917,0.7743,0.7758,0.7443,0.8635,0.7533,0.8301,0.8152,0.7025,0.8477,0.8483
277238,chr11,3187760,3187760,*,0.7956,0.7771,0.7966,0.7799,0.8728,0.7681,0.8405,0.8215,0.7372,0.8556,0.8561
277239,chr11,3187777,3187777,*,0.8697,0.8502,0.8535,0.7618,0.9643,0.8375,0.9359,0.9337,0.8618,0.9622,0.9657
277240,chr11,3187784,3187784,*,0.921,0.8513,0.9048,0.8405,0.9623,0.8688,0.9515,0.9358,0.9342,0.9596,0.9501
277241,chr11,3187790,3187790,*,0.8154,0.7861,0.7541,0.7079,0.8726,0.7616,0.8506,0.8296,0.7295,0.8572,0.8734
277242,chr11,3187803,3187803,*,0.9771,0.9375,0.965,0.9287,0.9915,0.9244,0.9886,0.9849,0.9538,0.9905,0.9895
277243,chr11,3187921,3187921,*,0.9035,0.8571,0.8076,0.7324,0.8945,0.8121,0.8825,0.8863,0.8427,0.8857,0.8861
277244,chr11,3187923,3187923,*,0.7203,0.7181,0.6205,0.5815,0.7016,0.6597,0.5843,0.7302,0.6481,0.6004,0.6247
277245,chr11,3187939,3187939,*,0.8137,0.7724,0.6679,0.6301,0.8064,0.7217,0.7874,0.7873,0.6132,0.815,0.8119
277246,chr11,3188016,3188016,*,0.8368,0.7655,0.5203,0.5095,0.8342,0.705,0.8057,0.8031,0.8001,0.8598,0.8556
277247,chr11,3188566,3188566,*,0.8083,0.7641,0.7393,0.7001,0.7975,0.7494,0.8509,0.7843,0.7986,0.814,0.7975
277248,chr11,3189207,3189207,*,0.7391,0.5753,0.597,0.4083,0.6763,0.5299,0.6426,0.5706,0.5733,0.7831,0.7119
277249,chr11,3190573,3190573,*,0.0457,0.0732,0.094,0.0647,0.0574,0.0833,0.0566,0.0773,0.2069,0.1998,0.1494
277250,chr11,3190638,3190638,*,0.0492,0.0663,0.1095,0.0767,0.0595,0.0774,0.0653,0.0898,0.0757,0.1479,0.1119
277251,chr11,3190676,3190676,*,0.0714,0.0769,0.1065,0.0758,0.0719,0.099,0.0792,0.0956,0.0674,0.1303,0.0876
277252,chr11,3210972,3210972,*,0.5802,0.6992,0.6376,0.6376,0.6021,0.5374,0.6817,0.6061,0.5852,0.6697,0.6851
277253,chr11,3216966,3216966,*,0.8344,0.7561,0.6241,0.5082,0.7991,0.6789,0.7245,0.7396,0.6137,0.8298,0.8323
277254,chr11,3222445,3222445,*,0.6112,0.5333,0.6007,0.4747,0.6186,0.509,0.4654,0.5742,0.3861,0.5281,0.5368
277255,chr11,3224451,3224451,*,0.0666,0.0742,0.1039,0.1679,0.079,0.0796,0.0772,0.1493,0.0711,0.071,0.0978
277256,chr11,3224658,3224658,*,0.0148,0.0133,0.028,0.0543,0.0177,0.0301,0.0121,0.0572,0.0092,0.0156,0.0151
277257,chr11,3224791,3224791,*,0.0937,0.1187,0.1501,0.4166,0.1138,0.1425,0.0913,0.2164,0.1126,0.0876,0.0956
277258,chr11,3225004,3225004,*,0.1324,0.1425,0.1826,0.1895,0.1534,0.1953,0.1096,0.2403,0.1331,0.1175,0.1251
277259,chr11,3225059,3225059,*,0.0294,0.0313,0.0597,0.0798,0.0519,0.066,0.0236,0.1247,0.0317,0.021,0.0336
277260,chr11,3225076,3225076,*,0.155,0.1289,0.1978,0.1849,0.1934,0.1962,0.1112,0.2745,0.1145,0.1241,0.1423
277261,chr11,3225550,3225550,*,0.6488,0.5755,0.4836,0.3995,0.5975,0.5836,0.6069,0.6224,0.3772,0.5958,0.6302
277262,chr11,3228622,3228622,*,0.8797,0.8582,0.8289,0.6698,0.8736,0.7305,0.8494,0.847,0.7156,0.8889,0.8899
277263,chr11,3236849,3236849,*,0.5782,0.5251,0.558,0.4885,0.6977,0.6444,0.4186,0.6328,0.6308,0.6834,0.4723
277264,chr11,3238777,3238777,*,0.3829,0.4769,0.3933,0.3614,0.4834,0.4543,0.4614,0.4524,0.5154,0.5282,0.5103
277265,chr11,3239218,3239218,*,0.5634,0.6226,0.6678,0.5667,0.6813,0.615,0.5738,0.6692,0.5414,0.7489,0.738
277266,chr11,3239402,3239402,*,0.5351,0.5936,0.576,0.4742,0.5992,0.5869,0.5282,0.6194,0.5902,0.6739,0.6403
277267,chr11,3239509,3239509,*,0.7195,0.759,0.7921,0.7176,0.8262,0.6919,0.7062,0.7799,0.5815,0.8378,0.7905
277268,chr11,3239953,3239953,*,0.6257,0.5712,0.5414,0.4391,0.6771,0.523,0.516,0.559,0.4031,0.775,0.7002
277269,chr11,3240068,3240068,*,0.6572,0.6216,0.6051,0.5326,0.7172,0.5939,0.6105,0.65,0.4741,0.7681,0.724
277270,chr11,3240122,3240122,*,0.6986,0.6762,0.6322,0.4397,0.7542,0.5711,0.5165,0.6239,0.5533,0.8163,0.7839
277271,chr11,3240201,3240201,*,0.713,0.6503,0.7395,0.5067,0.8276,0.6812,0.6526,0.7055,0.599,0.8686,0.8359
277272,chr11,3240365,3240365,*,0.4163,0.3861,0.4485,0.352,0.4426,0.3335,0.3477,0.4295,0.2861,0.5983,0.563
277273,chr11,3240399,3240399,*,0.5244,0.4354,0.4927,0.3085,0.5258,0.4163,0.3883,0.4719,0.3108,0.6969,0.5768
277274,chr11,3241424,3241424,*,0.758,0.7503,0.7823,0.6026,0.8319,0.7418,0.7156,0.8116,0.5868,0.8761,0.8453
277275,chr11,3243069,3243069,*,0.4188,0.4861,0.4295,0.3776,0.5699,0.5028,0.3805,0.4892,0.2578,0.6503,0.6014
277276,chr11,3243281,3243281,*,0.7238,0.7626,0.7272,0.548,0.841,0.6538,0.6401,0.7477,0.4299,0.8695,0.8234
277277,chr11,3243891,3243891,*,0.7998,0.8537,0.8183,0.5412,0.9029,0.7158,0.6251,0.8229,0.3972,0.9178,0.8644
277278,chr11,3244441,3244441,*,0.8651,0.7696,0.7871,0.4842,0.8227,0.6558,0.837,0.7166,0.6312,0.9225,0.9174
277279,chr11,3244486,3244486,*,0.5365,0.5486,0.5259,0.4003,0.5173,0.4417,0.5105,0.4685,0.4771,0.5091,0.5277
277280,chr11,3246091,3246091,*,0.6416,0.6672,0.6365,0.6321,0.5673,0.5871,0.4447,0.5951,0.5557,0.3418,0.3608
277281,chr11,3246160,3246160,*,0.7208,0.7832,0.7857,0.7768,0.6578,0.6946,0.505,0.7207,0.6221,0.6136,0.6826
277282,chr11,3246350,3246350,*,0.7973,0.7942,0.7951,0.8024,0.8342,0.7531,0.7059,0.7983,0.5734,0.842,0.8584
277283,chr11,3246380,3246380,*,0.8346,0.8444,0.8683,0.757,0.898,0.8199,0.7416,0.8606,0.5907,0.9124,0.9199
277284,chr11,3249252,3249252,*,0.9198,0.8337,0.908,0.8391,0.8858,0.7978,0.9174,0.8537,0.6869,0.9604,0.9399
277285,chr11,3249484,3249484,*,0.753,0.6991,0.7255,0.6015,0.7252,0.6077,0.7451,0.6777,0.7567,0.7741,0.7642
277286,chr11,3249789,3249789,*,0.7803,0.7822,0.7804,0.6738,0.7874,0.6835,0.6534,0.7383,0.5217,0.8198,0.8097
277287,chr11,3250071,3250071,*,0.9132,0.8944,0.8613,0.8643,0.9095,0.8081,0.8963,0.8794,0.8399,0.9228,0.9161
277288,chr11,3250765,3250765,*,0.8997,0.8388,0.8182,0.5958,0.878,0.7459,0.7979,0.7959,0.5771,0.9109,0.8907
277289,chr11,3250827,3250827,*,0.8999,0.8715,0.8107,0.615,0.8829,0.7145,0.9055,0.7952,0.7555,0.9154,0.9334
277290,chr11,3251760,3251760,*,0.7091,0.6858,0.5355,0.4325,0.6761,0.5866,0.6337,0.6027,0.7012,0.7653,0.7733
277291,chr11,3253581,3253581,*,0.3253,0.4134,0.4233,0.3974,0.4685,0.3788,0.548,0.4287,0.2953,0.2756,0.2906
277292,chr11,3253659,3253659,*,0.0565,0.1024,0.0883,0.0579,0.0962,0.0785,0.1474,0.1016,0.2019,0.062,0.0697
277293,chr11,3253769,3253769,*,0.2999,0.3791,0.4253,0.456,0.3814,0.3651,0.3594,0.4178,0.2876,0.2339,0.2144
277294,chr11,3253789,3253789,*,0.4068,0.5346,0.5443,0.5401,0.4851,0.4741,0.4485,0.5337,0.425,0.3014,0.2638
277295,chr11,3253797,3253797,*,0.5208,0.6836,0.753,0.8207,0.6487,0.6189,0.6336,0.7156,0.6022,0.4078,0.3933
277296,chr11,3253838,3253838,*,0.493,0.6422,0.6909,0.786,0.5722,0.5714,0.5811,0.6851,0.5636,0.3621,0.3869
277297,chr11,3253896,3253896,*,0.5646,0.7026,0.7494,0.7487,0.6568,0.6281,0.6859,0.7655,0.6568,0.4195,0.4407
277298,chr11,3254011,3254011,*,0.5758,0.6983,0.74,0.8201,0.6265,0.6414,0.6225,0.7607,0.5221,0.3914,0.3862
277299,chr11,3254065,3254065,*,0.4476,0.6164,0.6559,0.5832,0.546,0.5544,0.5826,0.6919,0.5563,0.3114,0.3545
277300,chr11,3254240,3254240,*,0.8705,0.8639,0.8967,0.8505,0.8699,0.8081,0.8687,0.8902,0.817,0.8898,0.8941
277301,chr11,3254296,3254296,*,0.9107,0.8998,0.8853,0.8836,0.8646,0.8371,0.8324,0.8952,0.6924,0.876,0.8934
277302,chr11,3254324,3254324,*,0.6437,0.732,0.7109,0.4802,0.6944,0.6356,0.54,0.6607,0.3303,0.698,0.7147
277303,chr11,3254452,3254452,*,0.9321,0.9123,0.9161,0.8884,0.9238,0.9113,0.9173,0.9175,0.9206,0.9214,0.9269
277304,chr11,3254475,3254475,*,0.9903,0.9877,0.9916,0.968,0.9892,0.9618,0.9882,0.9904,0.9731,0.9914,0.9906
277305,chr11,3254504,3254504,*,0.8534,0.8337,0.8255,0.6872,0.8024,0.727,0.7647,0.7974,0.6069,0.8617,0.8669
277306,chr11,3257489,3257489,*,0.873,0.8006,0.8234,0.6582,0.7579,0.7063,0.7795,0.7359,0.6732,0.8425,0.8845
277307,chr11,3305106,3305106,*,0.9305,0.9019,0.9301,0.9397,0.9359,0.898,0.8821,0.9294,0.7812,0.9368,0.9304
277308,chr11,3350946,3350946,*,0.908,0.908,0.9127,0.9074,0.918,0.8743,0.8942,0.9081,0.7802,0.9387,0.9095
277309,chr11,3361416,3361416,*,0.6853,0.6478,0.6728,0.4576,0.7012,0.5625,0.6877,0.5752,0.5751,0.8093,0.748
277310,chr11,3396237,3396237,*,0.6548,0.705,0.7274,0.776,0.7576,0.7341,0.7524,0.7356,0.5151,0.7569,0.7356
277311,chr11,3400108,3400108,*,0.0534,0.0564,0.0589,0.0536,0.0574,0.0551,0.06,0.0524,0.0543,0.0579,0.0609
277312,chr11,3400323,3400323,*,0.0882,0.0864,0.0896,0.084,0.0844,0.0842,0.0906,0.0866,0.0871,0.0918,0.0873
277313,chr11,3400387,3400387,*,0.1236,0.1412,0.1267,0.1326,0.1378,0.1393,0.1357,0.1223,0.1314,0.1392,0.14
277314,chr11,3400491,3400491,*,0.1171,0.1298,0.1294,0.1612,0.1193,0.1209,0.1171,0.1228,0.1863,0.1145,0.1209
277315,chr11,3400496,3400496,*,0.0511,0.0543,0.0555,0.0531,0.0507,0.0503,0.0504,0.0504,0.063,0.0501,0.0529
277316,chr11,3400543,3400543,*,0.1181,0.1071,0.1232,0.1297,0.1368,0.133,0.1313,0.1157,0.1258,0.1301,0.1269
277317,chr11,3400574,3400574,*,0.0259,0.0288,0.0249,0.0282,0.0215,0.0294,0.0201,0.0253,0.0382,0.022,0.0263
277318,chr11,3400587,3400587,*,0.144,0.1426,0.1199,0.1445,0.1265,0.1324,0.1272,0.1436,0.1315,0.1326,0.1483
277319,chr11,3400610,3400610,*,0.0414,0.0452,0.0381,0.0183,0.0371,0.0365,0.041,0.0312,0.0276,0.0406,0.0456
277320,chr11,3400651,3400651,*,0.079,0.0757,0.0713,0.0598,0.0469,0.0719,0.0671,0.0743,0.0733,0.0804,0.066
277321,chr11,3401204,3401204,*,0.8878,0.8701,0.8693,0.8157,0.8937,0.8627,0.9045,0.8661,0.9091,0.8818,0.8812
277322,chr11,3401500,3401500,*,0.943,0.9356,0.9321,0.9338,0.9217,0.9236,0.9074,0.9443,0.809,0.932,0.936
277323,chr11,3401705,3401705,*,0.8169,0.8156,0.7436,0.7176,0.8118,0.815,0.8308,0.8082,0.5984,0.8757,0.8619
277324,chr11,3402000,3402000,*,0.7169,0.8445,0.6902,0.7533,0.8469,0.8553,0.8202,0.8284,0.7695,0.8414,0.8548
277325,chr11,3402774,3402774,*,0.5806,0.654,0.714,0.6353,0.6154,0.6275,0.5228,0.6139,0.2574,0.7324,0.6666
277326,chr11,3408823,3408823,*,0.7871,0.8046,0.8012,0.7873,0.7878,0.7865,0.7907,0.7914,0.7506,0.7968,0.7717
277327,chr11,3430206,3430206,*,0.071,0.0666,0.0733,0.066,0.0695,0.0711,0.0666,0.0805,0.086,0.0777,0.0806
277328,chr11,3431101,3431101,*,0.5233,0.4752,0.4252,0.3542,0.5313,0.444,0.4253,0.4827,0.3615,0.5683,0.5083
277329,chr11,3434073,3434073,*,0.7866,0.7747,0.7922,0.7606,0.7978,0.731,0.7064,0.7722,0.7802,0.8007,0.667
277330,chr11,3435091,3435091,*,0.8824,0.8595,0.9049,0.8988,0.9548,0.8646,0.8932,0.9069,0.6345,0.9579,0.929
277331,chr11,3435156,3435156,*,0.9464,0.847,0.9357,0.941,0.9376,0.8966,0.9161,0.9296,0.9295,0.9562,0.9523
277332,chr11,3435203,3435203,*,0.6977,0.6843,0.7558,0.7788,0.7383,0.7322,0.6597,0.7468,0.5114,0.7407,0.7576
277333,chr11,3438606,3438606,*,0.7857,0.7534,0.6654,0.6473,0.7658,0.74,0.7655,0.7575,0.5901,0.7584,0.7597
277334,chr11,3439378,3439378,*,0.7265,0.6882,0.7089,0.7,0.7295,0.6574,0.6499,0.7124,0.4306,0.7225,0.6977
277335,chr11,3443202,3443202,*,0.1303,0.1424,0.0861,0.1055,0.1067,0.1238,0.1396,0.0936,0.0936,0.1492,0.1771
277336,chr11,3443352,3443352,*,0.0263,0.0576,0.0277,0.0309,0.0313,0.0362,0.0278,0.0299,0.0497,0.0253,0.0325
277337,chr11,3443969,3443969,*,0.1676,0.2059,0.1524,0.1584,0.1495,0.1403,0.1483,0.1612,0.1387,0.1449,0.1661
277338,chr11,3444479,3444479,*,0.1645,0.2023,0.1768,0.1701,0.1709,0.1995,0.1879,0.1667,0.1793,0.1809,0.1982
277339,chr11,3446843,3446843,*,0.5483,0.5008,0.5168,0.4779,0.5449,0.475,0.5208,0.5347,0.3973,0.5642,0.5417
277340,chr11,3448593,3448593,*,0.8266,0.7852,0.8351,0.7639,0.8279,0.7723,0.8416,0.812,0.6134,0.8405,0.8229
277341,chr11,3456487,3456487,*,0.9589,0.9354,0.9471,0.6099,0.9578,0.8276,0.9509,0.8788,0.8228,0.9646,0.9545
277342,chr11,3476325,3476325,*,0.1792,0.1746,0.1705,0.1391,0.1774,0.1904,0.181,0.1861,0.1813,0.1466,0.144
277343,chr11,3493045,3493045,*,0.6389,0.6692,0.6624,0.6349,0.6351,0.6307,0.6116,0.6464,0.5276,0.6496,0.6508
277344,chr11,3493084,3493084,*,0.809,0.8073,0.8254,0.8173,0.81,0.8023,0.8053,0.8003,0.7383,0.8162,0.8065
277345,chr11,3494849,3494849,*,0.4236,0.4309,0.4564,0.4194,0.3983,0.3827,0.443,0.4306,0.3871,0.3681,0.3686
277346,chr11,3497349,3497349,*,0.8719,0.7862,0.8439,0.6857,0.8435,0.7656,0.6991,0.8376,0.5995,0.8547,0.7369
277347,chr11,3497985,3497985,*,0.5252,0.4546,0.5164,0.4393,0.6486,0.5087,0.3602,0.6045,0.419,0.3825,0.328
277348,chr11,3498254,3498254,*,0.7213,0.6125,0.6406,0.5728,0.7327,0.6714,0.4668,0.7556,0.7976,0.4907,0.4536
277349,chr11,3534552,3534552,*,0.8644,0.813,0.7094,0.7364,0.797,0.8014,0.6791,0.8004,0.7963,0.5008,0.4284
277350,chr11,3534637,3534637,*,0.6813,0.657,0.6868,0.7691,0.6445,0.6223,0.5911,0.5893,0.6861,0.4218,0.4581
277351,chr11,3534756,3534756,*,0.677,0.634,0.6056,0.5036,0.6218,0.6293,0.575,0.5977,0.4958,0.4959,0.4822
